country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Afghanistan,155688.0,7238.0,0.0,0.0,6.0,0.0,0.0
Albania,177108.0,2807.0,0.0,0.0,441.0,10.0,0.0
Algeria,205106.0,5867.0,0.0,0.0,101.0,3.0,0.0
Andorra,15338.0,130.0,0.0,0.0,12.0,0.0,0.0
Angola,62606.0,1660.0,0.0,0.0,221.0,7.0,0.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,3858.0,93.0,0.0,0.0,28.0,0.0,0.0
Argentina,5271361.0,115660.0,0.0,0.0,1358.0,27.0,0.0
Armenia,278431.0,5713.0,0.0,0.0,1765.0,38.0,0.0
Australia,141031.0,1515.0,0.0,0.0,2311.0,8.0,0.0
Austria,765326.0,13673.0,0.0,0.0,2115.0,11.0,0.0
Azerbaijan,498630.0,6734.0,0.0,0.0,1850.0,14.0,0.0
Bahamas,21580.0,590.0,0.0,0.0,0.0,0.0,0.0
Bahrain,275975.0,1391.0,0.0,0.0,63.0,0.0,0.0
Bangladesh,1564881.0,27746.0,0.0,0.0,396.0,9.0,0.0
Barbados,12427.0,109.0,0.0,0.0,322.0,1.0,0.0
Belarus,567938.0,4369.0,0.0,0.0,2073.0,16.0,0.0
Belgium,1279869.0,25747.0,0.0,0.0,3648.0,15.0,0.0
Belize,23990.0,461.0,0.0,0.0,228.0,4.0,0.0
Benin,24560.0,161.0,0.0,0.0,0.0,0.0,0.0
Bhutan,2617.0,3.0,0.0,0.0,1.0,0.0,0.0
Bolivia,506150.0,18824.0,0.0,0.0,993.0,13.0,0.0
Bosnia and Herzegovina,243914.0,11110.0,0.0,0.0,694.0,32.0,0.0
Botswana,181856.0,2386.0,0.0,0.0,0.0,0.0,0.0
Brazil,21632789.0,602952.0,0.0,0.0,14298.0,507.0,0.0
Brunei,10251.0,68.0,0.0,0.0,423.0,1.0,0.0
Bulgaria,537752.0,22188.0,0.0,0.0,3440.0,86.0,0.0
Burkina Faso,14657.0,203.0,0.0,0.0,17.0,0.0,0.0
Burundi,19555.0,38.0,0.0,0.0,42.0,0.0,0.0
Cabo Verde,38006.0,347.0,0.0,0.0,30.0,0.0,0.0
Cambodia,116140.0,2610.0,0.0,0.0,265.0,26.0,0.0
Cameroon,98402.0,1550.0,0.0,0.0,0.0,0.0,0.0
