country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Afghanistan,154960.0,7199.0,0.0,0.0,0.0,0.0,0.0
Albania,167893.0,2640.0,0.0,0.0,539.0,11.0,0.0
Algeria,202722.0,5777.0,0.0,0.0,148.0,10.0,0.0
Andorra,15167.0,130.0,0.0,0.0,0.0,0.0,0.0
Angola,55121.0,1501.0,0.0,0.0,326.0,14.0,0.0
Antigua and Barbuda,2923.0,64.0,0.0,0.0,21.0,0.0,0.0
Argentina,5250402.0,114862.0,0.0,0.0,562.0,13.0,0.0
Armenia,258545.0,5251.0,0.0,0.0,925.0,12.0,0.0
Australia,99031.0,1245.0,0.0,0.0,1472.0,14.0,0.0
Austria,735890.0,10969.0,0.0,0.0,1588.0,8.0,0.0
Azerbaijan,480843.0,6457.0,0.0,0.0,1029.0,24.0,0.0
Bahamas,20603.0,522.0,0.0,0.0,0.0,0.0,0.0
Bahrain,274814.0,1389.0,0.0,0.0,69.0,0.0,0.0
Bangladesh,1551351.0,27414.0,0.0,0.0,980.0,21.0,0.0
Barbados,7576.0,67.0,0.0,0.0,175.0,3.0,0.0
Belarus,530203.0,4092.0,0.0,0.0,1974.0,11.0,0.0
Belgium,1233723.0,25554.0,0.0,0.0,0.0,0.0,0.0
Belize,19600.0,402.0,0.0,0.0,0.0,0.0,0.0
Benin,22958.0,154.0,0.0,0.0,0.0,0.0,0.0
Bhutan,2599.0,3.0,0.0,0.0,0.0,0.0,0.0
Bolivia,498895.0,18700.0,0.0,0.0,105.0,2.0,0.0
Bosnia and Herzegovina,230801.0,10422.0,0.0,0.0,0.0,0.0,0.0
Botswana,176427.0,2360.0,0.0,0.0,0.0,0.0,0.0
Brazil,21367297.0,594732.0,0.0,0.0,8856.0,266.0,0.0
Brunei,6540.0,37.0,0.0,0.0,580.0,4.0,0.0
Bulgaria,492861.0,20489.0,0.0,0.0,496.0,40.0,0.0
Burkina Faso,14172.0,180.0,0.0,0.0,41.0,0.0,0.0
Burundi,16356.0,38.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,37448.0,334.0,0.0,0.0,48.0,0.0,0.0
Cambodia,109087.0,2243.0,0.0,0.0,830.0,25.0,0.0
Cameroon,85414.0,1368.0,0.0,0.0,0.0,0.0,0.0
Canada,1609156.0,27695.0,0.0,0.0,1137.0,5.0,0.0
Central African Republic,11371.0,100.0,0.0,0.0,0.0,0.0,0.0
Chad,5032.0,174.0,0.0,0.0,1.0,0.0,0.0
Chile,1651750.0,37440.0,0.0,0.0,765.0,8.0,0.0
China,108309.0,4849.0,0.0,0.0,43.0,0.0,0.0
Colombia,4951675.0,126145.0,0.0,0.0,1422.0,43.0,0.0
Comoros,4112.0,147.0,0.0,0.0,0.0,0.0,0.0
Congo,70730.0,1274.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,521182.0,6189.0,0.0,0.0,0.0,0.0,0.0
Croatia,399891.0,8595.0,0.0,0.0,837.0,15.0,0.0
Cuba,854167.0,7227.0,0.0,0.0,6673.0,64.0,0.0
Cyprus,119689.0,551.0,0.0,0.0,99.0,1.0,0.0
Czechia,1689364.0,30453.0,0.0,0.0,411.0,1.0,0.0
Denmark,358724.0,2644.0,0.0,0.0,372.0,2.0,0.0
Diamond Princess,712.0,13.0,0.0,0.0,0.0,0.0,0.0
Djibouti,12253.0,162.0,0.0,0.0,0.0,0.0,0.0
Dominica,3293.0,15.0,0.0,0.0,96.0,2.0,0.0
Dominican Republic,357149.0,4039.0,0.0,0.0,215.0,4.0,0.0
Ecuador,507858.0,32720.0,0.0,0.0,0.0,0.0,0.0
Egypt,301625.0,17187.0,0.0,0.0,680.0,38.0,0.0
El Salvador,102024.0,3185.0,0.0,0.0,0.0,11.0,0.0
Equatorial Guinea,11806.0,142.0,0.0,0.0,0.0,0.0,0.0
Eritrea,6694.0,42.0,0.0,0.0,0.0,0.0,0.0
Estonia,153536.0,1344.0,0.0,0.0,465.0,1.0,0.0
Eswatini,45770.0,1212.0,0.0,0.0,28.0,0.0,0.0
Ethiopia,341714.0,5401.0,0.0,0.0,869.0,32.0,0.0
Fiji,50755.0,590.0,0.0,0.0,54.0,0.0,0.0
Finland,139405.0,1069.0,0.0,0.0,827.0,3.0,0.0
France,7085607.0,117182.0,0.0,0.0,4932.0,25.0,0.0
Gabon,29126.0,178.0,0.0,0.0,0.0,0.0,0.0
Gambia,9930.0,335.0,0.0,0.0,19.0,0.0,0.0
Georgia,606492.0,8817.0,0.0,0.0,1132.0,30.0,0.0
Germany,4204300.0,93409.0,0.0,0.0,5271.0,11.0,0.0
