country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Afghanistan,43240.0,1620.0,35092.0,6528.0,205.0,12.0,25.0
Albania,27830.0,623.0,12889.0,14318.0,597.0,11.0,122.0
Algeria,67679.0,2154.0,44633.0,20892.0,860.0,15.0,434.0
Andorra,5872.0,76.0,4747.0,1049.0,147.0,1.0,72.0
Angola,13451.0,322.0,6444.0,6685.0,77.0,0.0,99.0
Antigua and Barbuda,134.0,4.0,127.0,3.0,0.0,0.0,0.0
Argentina,1310491.0,35436.0,1129102.0,145953.0,5645.0,129.0,9736.0
Armenia,117337.0,1763.0,74984.0,40590.0,1482.0,25.0,879.0
Australia,27749.0,907.0,22312.0,4530.0,38.0,0.0,1.0
Austria,203956.0,1829.0,125674.0,76453.0,5665.0,83.0,6259.0
Azerbaijan,75688.0,967.0,55150.0,19571.0,2259.0,21.0,1101.0
Bahamas,7186.0,156.0,5323.0,1707.0,23.0,1.0,41.0
Bahrain,84703.0,334.0,82469.0,1900.0,180.0,1.0,169.0
Bangladesh,432333.0,6194.0,349542.0,76597.0,1837.0,21.0,1693.0
Barbados,250.0,7.0,238.0,5.0,1.0,0.0,4.0
Belarus,114185.0,1046.0,95843.0,17296.0,1315.0,7.0,1506.0
Belgium,535939.0,14421.0,0.0,521518.0,4659.0,118.0,0.0
Belize,4861.0,90.0,2598.0,2173.0,78.0,2.0,34.0
Benin,2844.0,43.0,2515.0,286.0,0.0,0.0,0.0
Bhutan,375.0,0.0,355.0,20.0,0.0,0.0,2.0
Bolivia,143246.0,8849.0,117137.0,17260.0,65.0,8.0,309.0
Bosnia and Herzegovina,71956.0,1889.0,35606.0,34461.0,1056.0,32.0,245.0
Botswana,8225.0,27.0,5559.0,2639.0,0.0,0.0,0.0
Brazil,5863093.0,165798.0,5279452.0,417843.0,14134.0,140.0,0.0
Brunei,148.0,3.0,145.0,0.0,0.0,0.0,0.0
Bulgaria,98251.0,2130.0,29375.0,66746.0,816.0,39.0,570.0
Burkina Faso,2641.0,68.0,2445.0,128.0,6.0,0.0,19.0
Burundi,628.0,1.0,549.0,78.0,1.0,0.0,0.0
Cabo Verde,9822.0,103.0,9220.0,499.0,42.0,1.0,72.0
Cambodia,302.0,0.0,289.0,13.0,0.0,0.0,0.0
Cameroon,22692.0,433.0,21510.0,749.0,0.0,0.0,0.0
Canada,299440.0,11078.0,240434.0,47928.0,4301.0,65.0,3564.0
Central African Republic,4900.0,63.0,1924.0,2913.0,4.0,0.0,0.0
Chad,1597.0,101.0,1443.0,53.0,6.0,1.0,4.0
Chile,531273.0,14819.0,506700.0,9754.0,1597.0,42.0,1457.0
China,91850.0,4742.0,86572.0,536.0,22.0,0.0,29.0
Colombia,1198746.0,34031.0,1104956.0,59759.0,7112.0,202.0,7380.0
Comoros,579.0,7.0,549.0,23.0,0.0,0.0,0.0
Congo,17275.0,411.0,14973.0,1891.0,0.0,0.0,0.0
Costa Rica,123223.0,1546.0,75341.0,46336.0,0.0,0.0,0.0
Croatia,84206.0,1049.0,66231.0,16926.0,2362.0,43.0,2483.0
Cuba,7590.0,131.0,7060.0,399.0,22.0,0.0,45.0
Cyprus,7178.0,39.0,2021.0,5118.0,127.0,0.0,0.0
Czechia,460116.0,6208.0,327306.0,126602.0,1887.0,150.0,4923.0
Denmark,62652.0,760.0,48259.0,13633.0,1059.0,3.0,974.0
Diamond Princess,712.0,13.0,659.0,40.0,0.0,0.0,0.0
Djibouti,5649.0,61.0,5525.0,63.0,4.0,0.0,6.0
Dominica,68.0,0.0,41.0,27.0,0.0,0.0,0.0
Dominican Republic,133724.0,2285.0,109981.0,21458.0,499.0,3.0,391.0
Ecuador,180295.0,13008.0,160639.0,6648.0,668.0,11.0,5683.0
