country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Afghanistan,42609.0,1584.0,34967.0,6058.0,146.0,4.0,13.0
Albania,25801.0,590.0,12493.0,12718.0,507.0,11.0,140.0
Algeria,64257.0,2093.0,42980.0,19184.0,811.0,16.0,354.0
Andorra,5567.0,75.0,4488.0,1004.0,90.0,0.0,83.0
Angola,12953.0,312.0,6125.0,6516.0,137.0,4.0,89.0
Antigua and Barbuda,131.0,3.0,124.0,4.0,0.0,0.0,2.0
Argentina,1273356.0,34531.0,1081897.0,156928.0,10880.0,348.0,0.0
Armenia,110548.0,1636.0,68336.0,40576.0,1861.0,27.0,1501.0
Australia,27675.0,907.0,25455.0,1313.0,4.0,0.0,1.0
Austria,172380.0,1564.0,103759.0,67057.0,7514.0,65.0,5096.0
Azerbaijan,68594.0,885.0,51007.0,16702.0,1202.0,18.0,998.0
Bahamas,7060.0,154.0,5099.0,1807.0,48.0,0.0,64.0
Bahrain,84042.0,332.0,81658.0,2052.0,231.0,1.0,243.0
Bangladesh,425353.0,6127.0,343131.0,76095.0,1733.0,19.0,1715.0
Barbados,249.0,7.0,233.0,9.0,6.0,0.0,2.0
Belarus,109357.0,1022.0,92266.0,16069.0,1057.0,6.0,620.0
Belgium,515391.0,13758.0,31130.0,470503.0,7916.0,197.0,626.0
Belize,4520.0,75.0,2485.0,1960.0,106.0,2.0,45.0
Benin,2844.0,43.0,2515.0,286.0,63.0,0.0,0.0
Bhutan,364.0,0.0,345.0,19.0,0.0,0.0,2.0
Bolivia,142776.0,8818.0,115718.0,18240.0,112.0,10.0,519.0
Bosnia and Herzegovina,66565.0,1701.0,32769.0,32095.0,1541.0,72.0,508.0
Botswana,7835.0,27.0,5534.0,2274.0,0.0,0.0,0.0
Brazil,5747660.0,163368.0,5222937.0,361355.0,48655.0,566.0,38967.0
Brunei,148.0,3.0,145.0,0.0,0.0,0.0,0.0
Bulgaria,87311.0,1898.0,26714.0,58699.0,3945.0,47.0,915.0
Burkina Faso,2586.0,67.0,2411.0,108.0,4.0,0.0,1.0
Burundi,620.0,1.0,549.0,70.0,5.0,0.0,0.0
Cabo Verde,9560.0,102.0,8829.0,629.0,61.0,1.0,91.0
Cambodia,301.0,0.0,288.0,13.0,1.0,0.0,0.0
Cameroon,22490.0,433.0,21510.0,547.0,69.0,0.0,0.0
Canada,280465.0,10748.0,226826.0,42891.0,3984.0,55.0,1914.0
Central African Republic,4884.0,62.0,1924.0,2898.0,0.0,0.0,0.0
Chad,1565.0,99.0,1420.0,46.0,4.0,0.0,7.0
Chile,524804.0,14633.0,501426.0,8745.0,897.0,22.0,1284.0
China,91752.0,4742.0,86451.0,559.0,33.0,0.0,30.0
Colombia,1165326.0,33312.0,1070423.0,61591.0,9970.0,184.0,89557.0
Comoros,569.0,7.0,541.0,21.0,0.0,0.0,0.0
Congo,17035.0,408.0,14850.0,1777.0,14.0,0.0,35.0
