country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Afghanistan,37542.0,1371.0,27166.0,9005.0,45.0,1.0,452.0
Albania,7260.0,225.0,3746.0,3289.0,143.0,6.0,51.0
Algeria,38133.0,1360.0,26644.0,10129.0,469.0,9.0,336.0
Andorra,989.0,53.0,863.0,73.0,0.0,0.0,0.0
Angola,1879.0,86.0,628.0,1165.0,27.0,0.0,44.0
Antigua and Barbuda,93.0,3.0,83.0,7.0,0.0,0.0,0.0
Argentina,289100.0,5637.0,205697.0,77766.0,6663.0,110.0,6692.0
Armenia,41495.0,817.0,34484.0,6194.0,196.0,3.0,320.0
Australia,23287.0,396.0,10641.0,12250.0,252.0,17.0,3.0
Austria,23179.0,728.0,20627.0,1824.0,303.0,3.0,128.0
Azerbaijan,34107.0,506.0,31697.0,1904.0,89.0,2.0,207.0
Bahamas,1252.0,17.0,160.0,1075.0,133.0,0.0,22.0
Bahrain,46430.0,170.0,42806.0,3454.0,378.0,2.0,337.0
Bangladesh,274525.0,3625.0,157635.0,113265.0,2644.0,34.0,1012.0
Barbados,150.0,7.0,121.0,22.0,2.0,0.0,2.0
Belarus,69308.0,603.0,66452.0,2253.0,0.0,0.0,0.0
Belgium,77869.0,9935.0,17981.0,49953.0,756.0,11.0,40.0
Belize,388.0,3.0,35.0,350.0,32.0,0.0,3.0
Benin,2063.0,39.0,1690.0,334.0,49.0,1.0,9.0
Bhutan,133.0,0.0,102.0,31.0,0.0,0.0,0.0
Bolivia,99146.0,4003.0,35638.0,59505.0,1196.0,64.0,915.0
Bosnia and Herzegovina,15801.0,471.0,9619.0,5711.0,266.0,2.0,275.0
Botswana,1214.0,3.0,120.0,1091.0,0.0,0.0,0.0
Brazil,3317096.0,107232.0,2622878.0,586986.0,41576.0,709.0,5897.0
Brunei,142.0,3.0,138.0,1.0,0.0,0.0,0.0
Bulgaria,14333.0,495.0,9161.0,4677.0,90.0,3.0,47.0
Burkina Faso,1240.0,54.0,1006.0,180.0,2.0,0.0,1.0
Burundi,412.0,1.0,315.0,96.0,0.0,0.0,0.0
Cabo Verde,3163.0,34.0,2302.0,827.0,27.0,1.0,48.0
Cambodia,273.0,0.0,238.0,35.0,0.0,0.0,13.0
Cameroon,18469.0,401.0,16540.0,1528.0,0.0,0.0,1220.0
Canada,123825.0,9101.0,109933.0,4791.0,220.0,6.0,276.0
Central African Republic,4652.0,61.0,1728.0,2863.0,0.0,0.0,0.0
Chad,952.0,76.0,864.0,12.0,1.0,0.0,2.0
Chile,383902.0,10395.0,356951.0,16556.0,1791.0,55.0,1914.0
China,89279.0,4703.0,83108.0,1468.0,65.0,2.0,152.0
Colombia,456689.0,14810.0,274420.0,167459.0,11578.0,318.0,13127.0
Comoros,403.0,7.0,379.0,17.0,0.0,0.0,0.0
Congo,13383.0,299.0,10222.0,2862.0,33.0,1.0,85.0
Costa Rica,27737.0,291.0,9010.0,18436.0,806.0,10.0,225.0
Croatia,6420.0,165.0,5193.0,1062.0,162.0,2.0,59.0
Cuba,3292.0,88.0,2568.0,636.0,63.0,0.0,21.0
Cyprus,1332.0,20.0,870.0,442.0,14.0,0.0,0.0
Czechia,19891.0,395.0,13763.0,5733.0,198.0,1.0,32.0
Denmark,15867.0,621.0,13514.0,1732.0,109.0,0.0,59.0
Diamond Princess,712.0,13.0,651.0,48.0,0.0,0.0,0.0
Djibouti,5367.0,59.0,5181.0,127.0,0.0,0.0,0.0
Dominica,18.0,0.0,18.0,0.0,0.0,0.0,0.0
Dominican Republic,85545.0,1438.0,51356.0,32751.0,1057.0,29.0,1817.0
Ecuador,100688.0,6065.0,79354.0,15269.0,1279.0,35.0,178.0
Egypt,96336.0,5141.0,58835.0,32360.0,116.0,17.0,977.0
El Salvador,22619.0,603.0,10618.0,11398.0,305.0,8.0,163.0
Equatorial Guinea,4821.0,83.0,2182.0,2556.0,0.0,0.0,0.0
Eritrea,285.0,0.0,248.0,37.0,0.0,0.0,0.0
Estonia,2184.0,63.0,1976.0,145.0,7.0,0.0,0.0
Eswatini,3745.0,69.0,2268.0,1408.0,75.0,1.0,277.0
Ethiopia,28894.0,509.0,12037.0,16348.0,1652.0,17.0,377.0
Fiji,28.0,1.0,20.0,7.0,0.0,0.0,0.0
Finland,7720.0,333.0,7050.0,337.0,20.0,0.0,0.0
France,254991.0,30413.0,83993.0,140585.0,3210.0,1.0,0.0
Gabon,8225.0,51.0,6277.0,1897.0,0.0,0.0,0.0
Gambia,1689.0,54.0,347.0,1288.0,66.0,4.0,43.0
Georgia,1321.0,17.0,1088.0,216.0,15.0,0.0,3.0
Germany,224488.0,9235.0,200756.0,14497.0,697.0,5.0,316.0
Ghana,42210.0,231.0,40147.0,1832.0,363.0,8.0,429.0
Greece,6858.0,226.0,1347.0,5285.0,226.0,3.0,0.0
Grenada,24.0,0.0,23.0,1.0,0.0,0.0,0.0
Guatemala,62313.0,2355.0,50183.0,9775.0,885.0,14.0,828.0
Guinea,8343.0,50.0,7210.0,1083.0,83.0,0.0,33.0
Guinea-Bissau,2117.0,33.0,1015.0,1069.0,29.0,4.0,0.0
Guyana,674.0,22.0,310.0,342.0,25.0,0.0,4.0
Haiti,7810.0,192.0,5235.0,2383.0,29.0,0.0,112.0
Holy See,12.0,0.0,12.0,0.0,0.0,0.0,0.0
Honduras,49979.0,1567.0,7255.0,41157.0,512.0,19.0,127.0
Hungary,4877.0,607.0,3606.0,664.0,24.0,0.0,16.0
Iceland,1999.0,10.0,1870.0,119.0,16.0,0.0,9.0
India,2589952.0,49980.0,1862258.0,677714.0,64030.0,944.0,53322.0
Indonesia,137468.0,6071.0,91321.0,40076.0,2345.0,50.0,1703.0
Iran,341070.0,19492.0,295630.0,25948.0,2245.0,161.0,1819.0
Iraq,172583.0,5785.0,122700.0,44098.0,4293.0,76.0,2571.0
Ireland,27191.0,1774.0,23364.0,2053.0,196.0,0.0,0.0
Israel,92342.0,745.0,68219.0,23378.0,757.0,10.0,583.0
Italy,253438.0,35392.0,203640.0,14406.0,629.0,158.0,314.0
Ivory Coast,16993.0,108.0,13759.0,3126.0,58.0,0.0,38.0
Jamaica,1082.0,14.0,761.0,307.0,0.0,0.0,0.0
Japan,55051.0,1093.0,39439.0,14519.0,1233.0,13.0,3941.0
Jordan,1339.0,11.0,1229.0,99.0,10.0,0.0,0.0
Kazakhstan,119781.0,1480.0,81558.0,36743.0,1267.0,47.0,842.0
Kenya,29849.0,472.0,15970.0,13407.0,515.0,7.0,672.0
Kosovo,11275.0,390.0,6961.0,3924.0,145.0,9.0,144.0
Kuwait,75697.0,498.0,67519.0,7680.0,512.0,4.0,779.0
Kyrgyzstan,41645.0,1493.0,33951.0,6201.0,272.0,2.0,359.0
Laos,22.0,0.0,19.0,3.0,0.0,0.0,0.0
Latvia,1315.0,32.0,1078.0,205.0,7.0,0.0,0.0
Lebanon,8442.0,97.0,2650.0,5695.0,397.0,3.0,99.0
Lesotho,903.0,25.0,271.0,607.0,19.0,0.0,0.0
Liberia,1257.0,82.0,788.0,387.0,5.0,0.0,50.0
Libya,7738.0,145.0,894.0,6699.0,411.0,6.0,46.0
Liechtenstein,91.0,1.0,87.0,3.0,0.0,0.0,0.0
Lithuania,2379.0,64.0,1762.0,553.0,33.0,0.0,6.0
Luxembourg,7439.0,123.0,6500.0,816.0,34.0,1.0,0.0
