country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Afghanistan,157144.0,7307.0,0.0,0.0,112.0,1.0,0.0
Albania,198292.0,3068.0,0.0,0.0,516.0,5.0,0.0
Algeria,209624.0,6041.0,0.0,0.0,161.0,6.0,0.0
Andorra,16566.0,131.0,0.0,0.0,140.0,0.0,0.0
Angola,65105.0,1732.0,0.0,0.0,25.0,1.0,0.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,4141.0,117.0,0.0,0.0,3.0,0.0,0.0
Argentina,5322127.0,116480.0,0.0,0.0,2260.0,22.0,0.0
Armenia,336330.0,7419.0,0.0,0.0,592.0,40.0,0.0
Australia,205269.0,1985.0,0.0,0.0,1627.0,7.0,0.0
Austria,1108889.0,12233.0,0.0,0.0,13592.0,53.0,0.0
Azerbaijan,580507.0,7736.0,0.0,0.0,1880.0,27.0,0.0
Bahamas,22696.0,671.0,0.0,0.0,0.0,0.0,0.0
Bahrain,277510.0,1394.0,0.0,0.0,29.0,0.0,0.0
Bangladesh,1575185.0,27970.0,0.0,0.0,237.0,9.0,0.0
Barbados,24432.0,218.0,0.0,0.0,0.0,3.0,0.0
Belarus,646743.0,5010.0,0.0,0.0,1674.0,15.0,0.0
Belgium,1679861.0,26793.0,0.0,0.0,20836.0,50.0,0.0
Belize,30060.0,570.0,0.0,0.0,93.0,1.0,0.0
Benin,24850.0,161.0,0.0,0.0,0.0,0.0,0.0
Bhutan,2633.0,3.0,0.0,0.0,0.0,0.0,0.0
Bolivia,533756.0,19121.0,0.0,0.0,2328.0,25.0,0.0
Bosnia and Herzegovina,272063.0,12412.0,0.0,0.0,740.0,26.0,0.0
Botswana,194909.0,2416.0,0.0,0.0,257.0,0.0,0.0
Brazil,22062645.0,613929.0,0.0,0.0,12283.0,288.0,0.0
Brunei,14771.0,97.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,684922.0,27891.0,0.0,0.0,2370.0,113.0,0.0
Burkina Faso,15514.0,265.0,0.0,0.0,0.0,0.0,0.0
Burundi,20360.0,38.0,0.0,0.0,9.0,0.0,0.0
Cabo Verde,38347.0,349.0,0.0,0.0,2.0,0.0,0.0
Cambodia,120009.0,2918.0,0.0,0.0,32.0,4.0,0.0
Cameroon,106794.0,1791.0,0.0,0.0,0.0,0.0,0.0
Canada,1784842.0,29701.0,0.0,0.0,4397.0,23.0,0.0
Central African Republic,11708.0,101.0,0.0,0.0,0.0,0.0,0.0
Chad,5107.0,175.0,0.0,0.0,0.0,0.0,0.0
Chile,1751769.0,38218.0,0.0,0.0,2670.0,43.0,0.0
China,111077.0,4849.0,0.0,0.0,19.0,0.0,0.0
Colombia,5057897.0,128290.0,0.0,0.0,2644.0,54.0,0.0
