country_region,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
Afghanistan,61162.0,2664.0,53961.0,4537.0,365.0,10.0,211.0
Albania,131510.0,2406.0,114362.0,14742.0,91.0,3.0,894.0
Algeria,123473.0,3307.0,86007.0,34159.0,201.0,8.0,138.0
Andorra,13363.0,127.0,12900.0,336.0,23.0,0.0,16.0
Angola,27921.0,622.0,24503.0,2796.0,392.0,4.0,11.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1232.0,32.0,1014.0,186.0,0.0,0.0,0.0
Argentina,3095582.0,66263.0,2757230.0,272089.0,24086.0,398.0,22765.0
Armenia,218325.0,4192.0,202273.0,11860.0,425.0,14.0,714.0
Australia,29893.0,910.0,23396.0,5587.0,9.0,0.0,19.0
Austria,627484.0,10333.0,597922.0,19229.0,1245.0,22.0,2045.0
Azerbaijan,324685.0,4635.0,301006.0,19044.0,844.0,18.0,2057.0
Bahamas,10711.0,211.0,9733.0,767.0,135.0,1.0,154.0
Bahrain,184697.0,670.0,172006.0,12021.0,1367.0,6.0,1120.0
Bangladesh,769160.0,11796.0,702163.0,55201.0,1822.0,41.0,3698.0
Barbados,3929.0,45.0,3831.0,53.0,14.0,0.0,10.0
Belarus,364951.0,2602.0,355531.0,6818.0,1219.0,10.0,1319.0
Belgium,1007264.0,24444.0,0.0,982820.0,3518.0,38.0,0.0
Belize,12682.0,323.0,12273.0,86.0,2.0,0.0,12.0
Benin,7884.0,100.0,7652.0,132.0,0.0,0.0,0.0
Bhutan,1161.0,1.0,1028.0,132.0,17.0,0.0,11.0
Bolivia,314190.0,13151.0,258068.0,42971.0,3618.0,69.0,2140.0
Bosnia and Herzegovina,200353.0,8762.0,163445.0,28146.0,471.0,26.0,1172.0
Botswana,48417.0,734.0,46226.0,1457.0,566.0,10.0,581.0
Brazil,15019870.0,417447.0,13285589.0,1316834.0,72290.0,2536.0,30929.0
Brunei,228.0,3.0,218.0,7.0,0.0,0.0,0.0
Bulgaria,408372.0,16800.0,345489.0,46083.0,545.0,27.0,594.0
Burkina Faso,13353.0,162.0,13111.0,80.0,8.0,1.0,10.0
Burundi,4093.0,6.0,773.0,3314.0,24.0,0.0,0.0
Cabo Verde,25526.0,230.0,22105.0,3191.0,367.0,1.0,342.0
Cambodia,17621.0,114.0,6843.0,10664.0,650.0,4.0,824.0
Cameroon,74946.0,1152.0,35261.0,38533.0,2696.0,45.0,0.0
Canada,1266137.0,24490.0,1172437.0,69210.0,8123.0,39.0,8011.0
Central African Republic,6674.0,93.0,5112.0,1469.0,153.0,2.0,0.0
Chad,4854.0,170.0,4612.0,72.0,7.0,0.0,42.0
Chile,1229248.0,26895.0,1166227.0,36126.0,6299.0,169.0,5282.0
China,102586.0,4846.0,97312.0,428.0,15.0,0.0,25.0
Colombia,2951101.0,76414.0,2773220.0,101467.0,16490.0,399.0,18280.0
Comoros,3847.0,146.0,3681.0,20.0,0.0,0.0,0.0
Congo,41217.0,917.0,34527.0,5773.0,71.0,0.0,37.0
Costa Rica,263094.0,3341.0,211043.0,48710.0,2559.0,15.0,1708.0
Croatia,341052.0,7355.0,321755.0,11942.0,1640.0,40.0,1793.0
Cuba,112714.0,701.0,106409.0,5604.0,1060.0,7.0,1097.0
Cyprus,69058.0,328.0,39061.0,29669.0,562.0,1.0,0.0
Czechia,1641120.0,29521.0,1569862.0,41737.0,1872.0,42.0,1232.0
